Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain
58,5,3,59304.0,0,1,9,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0
48,3,3,44989.0,0,1,10,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0
79,5,4,48948.0,0,0,9,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0
42,4,3,31535.0,1,0,9,95,15,4,13,0,0,19,1,1,1,2,7,1,0,0,0,0,0
52,4,6,44802.0,0,0,10,71,853,10,143,13,10,20,2,9,4,12,8,0,0,0,0,0,0
55,2,2,47821.0,1,1,9,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0
68,3,2,36807.0,1,1,10,88,4,2,5,0,0,5,1,1,0,2,6,0,0,0,0,0,0
44,4,3,88097.0,1,0,10,24,163,0,480,0,126,75,1,6,5,8,9,0,1,1,1,0,0
34,3,2,29604.0,1,0,9,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0
53,3,3,52413.0,0,2,9,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0
53,3,2,68695.0,0,0,8,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0
44,5,3,82170.0,0,0,9,13,1023,93,651,49,55,37,1,5,6,7,2,0,0,0,0,0,0
46,3,2,36283.0,1,1,8,42,6,5,5,8,0,5,2,1,0,3,4,0,0,0,0,0,0
50,5,3,62010.0,0,1,10,93,371,22,39,6,0,92,4,6,2,7,5,0,0,0,0,0,0
45,4,3,55842.0,0,1,8,19,451,0,39,0,4,24,1,7,1,8,5,0,0,0,0,0,0
64,3,4,35246.0,1,1,8,53,36,0,12,2,2,10,4,3,1,3,5,0,0,0,0,0,0
63,3,6,80982.0,1,1,9,48,505,137,401,104,22,22,3,11,5,11,5,0,0,0,0,0,1
42,3,6,51766.0,1,0,8,74,60,51,87,6,20,51,2,4,2,4,5,0,0,0,0,0,0
