Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain
50,3,3,65685.0,0,1,8,54,642,14,49,0,7,57,1,9,2,9,5,0,0,0,0,0,0
51,2,4,49118.0,0,0,10,90,620,54,239,99,98,119,2,9,7,10,7,0,1,0,0,1,0
42,5,6,36802.0,1,0,8,23,16,1,2,0,0,1,1,1,0,3,5,0,0,0,0,0,0
75,5,2,81574.0,0,0,8,89,1252,0,465,46,35,0,1,4,5,8,1,0,1,1,0,0,0
36,3,2,83033.0,1,0,8,82,812,99,431,237,149,33,1,11,4,10,5,0,0,0,1,0,0
66,4,2,50898.0,1,1,9,88,285,28,242,55,114,135,13,6,2,12,5,0,0,0,0,0,0
74,5,2,76140.0,0,0,8,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0
66,3,3,62503.0,0,1,9,40,478,0,193,110,75,117,4,8,3,11,5,0,0,0,0,0,0
41,3,6,41967.0,1,1,9,66,23,4,10,0,2,15,1,1,0,3,4,0,0,0,0,0,0
51,5,3,32011.0,1,0,9,89,99,0,15,2,1,5,3,2,1,4,7,0,0,0,0,0,0
57,5,4,57912.0,0,1,8,34,801,0,80,0,0,35,5,8,3,12,5,0,1,0,0,0,0
63,3,2,71367.0,0,0,9,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0
52,3,6,27242.0,1,0,10,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,0
38,5,6,16269.0,1,0,9,75,19,3,18,3,1,0,3,3,0,3,8,0,0,0,0,0,0
47,4,6,46098.0,1,1,10,86,57,0,27,0,0,36,4,3,2,2,8,0,0,0,0,0,0
66,3,3,67131.0,0,1,9,72,465,71,250,93,35,62,3,9,2,12,6,0,0,0,0,0,0
46,4,6,72309.0,0,0,9,64,960,0,883,50,38,0,1,5,6,8,3,0,0,0,1,0,0
66,4,6,86424.0,0,0,8,12,387,68,569,89,45,68,1,6,9,12,1,0,0,0,0,0,0
60,3,3,55759.0,0,1,10,84,675,0,85,10,7,77,5,10,3,8,8,0,0,0,0,0,0
62,3,3,29440.0,1,1,9,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0
44,3,4,63693.0,0,1,9,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0
41,3,3,29009.0,1,0,9,19,6,6,15,10,5,2,2,2,0,3,6,0,0,0,0,0,0
76,5,6,82800.0,0,0,10,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0
56,5,6,78420.0,0,0,9,75,604,28,674,91,28,28,1,3,10,8,1,0,0,0,0,0,0
55,2,2,30753.0,1,1,9,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0
46,5,4,70179.0,0,1,9,10,532,88,168,69,44,133,3,7,3,13,5,0,0,0,0,0,0
54,4,4,41335.0,1,0,9,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0
62,4,3,30522.0,0,1,10,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0
68,3,6,46344.0,1,1,8,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0
38,3,3,72570.0,0,0,8,67,274,83,216,151,141,224,1,4,6,12,1,0,0,0,0,0,0
51,5,3,37126.0,1,0,8,9,45,3,9,4,4,7,1,1,2,2,6,1,0,0,0,0,0
70,3,4,62335.0,0,1,9,87,243,131,217,85,6,26,2,3,3,13,2,0,0,0,0,0,0
56,5,2,47472.0,1,1,9,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0
70,3,2,75278.0,0,0,9,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,0
54,3,3,19329.0,1,0,9,39,24,1,16,12,2,5,3,4,0,3,8,0,0,0,0,0,0
45,5,3,61996.0,0,1,9,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0
57,2,3,46891.0,0,1,9,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0
44,2,3,36550.0,1,0,9,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0
57,4,6,55250.0,0,1,10,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0
59,1,2,14918.0,0,1,10,52,3,3,3,15,4,15,1,1,0,3,6,0,0,0,0,0,0
51,3,3,36715.0,1,0,10,16,172,10,125,21,13,16,6,7,2,4,9,0,0,0,0,0,0
56,5,2,28764.0,1,1,8,16,8,0,3,0,0,1,1,1,0,2,8,1,0,0,0,0,0
61,4,2,48330.0,0,1,9,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0
69,3,2,48794.0,1,1,8,97,25,0,11,3,0,15,1,1,0,3,4,0,0,0,0,0,0
59,4,6,64191.0,0,1,9,30,420,15,186,151,38,15,3,5,3,13,3,0,0,0,0,0,0
68,5,4,57333.0,0,1,10,55,941,14,397,76,58,176,11,8,5,9,6,0,0,0,0,0,0
39,3,4,82025.0,0,0,9,76,267,98,606,48,70,98,1,3,2,6,1,0,0,1,0,0,0
36,3,4,21846.0,1,0,9,38,7,17,18,6,10,26,4,4,0,3,8,0,0,0,0,0,0
46,2,2,36301.0,1,0,9,53,11,12,35,3,5,12,1,3,0,3,7,0,0,0,0,0,0
66,3,6,46998.0,0,1,10,55,172,41,86,45,6,27,5,5,3,5,7,1,0,0,0,0,0
66,4,3,90226.0,0,0,10,26,1083,108,649,253,151,108,1,4,7,12,2,0,0,0,1,0,0
54,4,4,63841.0,0,1,9,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0
48,5,2,45068.0,0,1,9,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0
59,5,5,52278.0,0,1,9,24,953,0,71,0,0,174,6,10,5,10,8,0,0,0,0,0,0
37,3,6,70596.0,0,0,10,68,347,44,534,17,0,26,1,3,5,12,2,0,0,0,0,0,0
38,4,3,42207.0,1,0,9,71,116,11,72,3,17,46,4,4,1,5,6,1,0,0,0,0,0
46,3,4,12571.0,1,0,8,86,3,5,14,2,12,17,4,3,1,3,6,0,0,0,0,0,0
60,3,6,57967.0,0,1,9,39,229,7,137,4,0,91,5,4,2,8,5,0,0,0,0,0,0
56,3,3,61286.0,0,1,9,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0
69,4,2,56129.0,0,1,9,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0
39,3,6,101970.0,0,0,9,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0
59,3,3,22419.0,0,0,9,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0
52,5,3,55158.0,1,1,10,72,293,0,87,4,11,23,4,7,2,5,7,0,0,0,0,0,0
48,5,3,34596.0,1,0,9,48,14,0,2,0,0,7,1,1,0,2,8,0,0,0,0,0,0
68,3,3,59111.0,0,0,9,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0
56,3,6,33279.0,0,0,8,29,10,3,3,0,0,0,1,0,0,3,3,0,0,0,0,0,0
72,5,5,76842.0,0,0,8,37,605,10,345,84,54,32,1,1,8,7,0,0,0,0,0,0,0
51,5,3,78931.0,0,0,9,19,331,197,170,58,152,35,1,2,8,13,1,0,0,0,0,0,0
57,3,2,29672.0,1,1,9,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0
44,3,6,7500.0,1,1,10,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0
32,3,6,34412.0,1,0,9,62,52,12,50,4,36,55,3,5,0,3,9,0,0,0,0,0,0
52,3,6,24206.0,1,0,9,66,7,2,8,3,2,3,1,1,0,3,6,0,0,0,0,0,0
49,4,3,60432.0,0,1,8,61,365,3,15,4,3,11,5,7,2,5,6,0,0,0,0,0,0
68,3,4,64587.0,1,1,8,49,66,0,16,0,6,20,2,1,1,4,3,0,0,0,0,0,0
34,3,2,41883.0,1,0,9,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0
41,2,6,24336.0,1,0,10,82,1,6,2,8,2,12,1,1,0,2,7,0,0,0,0,0,0
43,3,4,15287.0,1,0,10,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0
44,3,2,75437.0,0,0,9,25,795,0,545,95,58,0,1,8,4,10,6,0,0,0,1,0,0
44,2,2,38702.0,1,0,9,71,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0
62,2,6,32218.0,0,0,8,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0
69,3,3,39722.0,0,1,8,92,32,0,5,2,0,8,2,2,0,3,5,0,0,0,0,0,0
74,5,5,82032.0,0,0,8,54,332,194,377,149,125,57,0,4,6,7,1,0,0,0,0,0,0
50,5,2,34578.0,2,1,8,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0
62,5,3,65695.0,0,1,8,50,371,32,189,0,58,6,2,5,4,10,4,0,0,0,0,0,0
36,5,3,82333.0,0,0,9,60,1311,0,359,46,89,17,1,4,3,10,2,0,0,1,0,0,0
52,5,6,57642.0,0,1,8,24,580,6,58,8,0,27,3,7,6,6,4,1,0,0,0,0,0
68,3,6,36130.0,0,1,9,46,157,43,127,68,56,37,6,3,8,4,4,1,0,0,0,0,0
56,3,6,63810.0,0,1,10,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0
55,5,6,40304.0,1,0,9,82,37,0,17,0,0,3,1,2,0,3,7,0,0,0,0,0,0
44,3,4,63693.0,0,1,9,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0
34,3,6,34176.0,1,0,8,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0
57,4,6,33168.0,0,1,10,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0
57,4,3,70053.0,0,1,9,38,512,53,98,81,179,89,3,8,5,10,5,0,0,0,0,0,0
57,5,4,36921.0,1,1,9,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0
